Disp(mm)  Force(kN)
-0.2,0.152
0,0.157
0.2,0.162
0.4,0.169
0.6,0.184
0.8,0.201
1,0.218
1.2,0.239
1.4,0.259
1.6,0.283
1.8,0.306
2,0.329
2.2,0.351
2.4,0.373
2.6,0.4
2.8,0.427
3,0.451
3.2,0.469
3.4,0.491
3.6,0.512
3.8,0.534
4,0.554
4.2,0.574
4.4,0.594
4.6,0.613
4.8,0.639
5,0.665
5.2,0.69
5.4,0.715
5.6,0.74
5.8,0.763
6,0.792
6.2,0.843
6.4,0.894
6.6,0.952
6.8,1.009
7,1.085
7.2,1.161
7.4,1.236
7.6,1.312
7.8,1.387
8,1.46
8.2,1.53
8.4,1.6
8.6,1.669
8.8,1.738
9,1.806
9.2,1.865
9.4,1.895
9.6,1.919
9.8,1.933
10,1.946
10.2,1.959
10.4,1.971
10.6,1.983
10.8,1.995
11,2.006
11.2,2.017
11.4,2.028
11.6,2.038
11.8,2.049
12,2.059
12.2,2.069
12.4,2.078
12.6,2.086
12.8,2.093
13,2.1
13.2,2.106
13.4,2.112
13.6,2.118
13.8,2.123
14,2.128
14.2,2.133
14.4,2.137
14.6,2.141
14.8,2.145
15,2.148
15.2,2.151
15.4,2.153
15.6,2.156
15.8,2.157
16,2.158
15.8,1.964
15.6,1.771
15.4,1.577
15.2,1.385
15,1.2
14.8,1.03
14.6,0.871
14.4,0.721
14.2,0.593
14,0.473
13.8,0.376
13.6,0.296
13.4,0.216
13.2,0.145
13,0.102
12.8,0.066
12.6,0.039
12.4,0.018
12.2,0.002
12,-0.01
11.8,-0.02
11.6,-0.027
11.4,-0.033
11.2,-0.037
11,-0.04
10.8,-0.042
10.6,-0.044
10.4,-0.047
10.2,-0.05
10,-0.053
9.8,-0.055
9.6,-0.057
9.4,-0.061
9.2,-0.068
9,-0.079
8.8,-0.09
8.6,-0.101
8.4,-0.112
8.2,-0.121
8,-0.13
7.8,-0.137
7.6,-0.144
7.4,-0.152
7.2,-0.16
7,-0.167
6.8,-0.174
6.6,-0.182
6.4,-0.188
6.2,-0.195
6,-0.201
5.8,-0.208
5.6,-0.214
5.4,-0.22
5.2,-0.226
5,-0.232
4.8,-0.238
4.6,-0.244
4.4,-0.25
4.2,-0.256
4,-0.262
3.8,-0.269
3.6,-0.277
3.4,-0.286
3.2,-0.294
3,-0.302
2.8,-0.311
2.6,-0.319
2.4,-0.327
2.2,-0.335
2,-0.342
1.8,-0.352
1.6,-0.361
1.4,-0.37
1.2,-0.38
1,-0.389
0.8,-0.398
0.6,-0.407
0.4,-0.416
0.2,-0.432
0,-0.448
-0.2,-0.465
-0.4,-0.481
-0.6,-0.503
-0.8,-0.524
-1,-0.545
-1.2,-0.566
-1.4,-0.587
-1.6,-0.609
-1.8,-0.655
-2,-0.712
-2.2,-0.77
-2.4,-0.834
-2.6,-0.923
-2.8,-1.011
-3,-1.099
-3.2,-1.184
-3.4,-1.267
-3.6,-1.345
-3.8,-1.413
-4,-1.473
-4.2,-1.518
-4.4,-1.538
-4.6,-1.558
-4.8,-1.577
-5,-1.595
-5.2,-1.613
-5.4,-1.631
-5.6,-1.648
-5.8,-1.665
-6,-1.681
-6.2,-1.697
-6.4,-1.712
-6.6,-1.727
-6.8,-1.742
-7,-1.757
-7.2,-1.771
-7.4,-1.786
-7.6,-1.8
-7.8,-1.813
-8,-1.827
-7.8,-1.634
-7.6,-1.44
-7.4,-1.246
-7.2,-1.055
-7,-0.871
-6.8,-0.701
-6.6,-0.544
-6.4,-0.393
